customer_id,first_name,last_name,gender,birth_date,email,phone_number,city,country,registration_date,loyalty_tier,account_status,marketing_opt_in,total_lifetime_value,avg_order_value,orders_count,last_purchase_date,preferred_channel,created_at,updated_at
1,Caleb,Garrett,F,1998-01-03,zmason@hotmail.com,,East Jillianstad,Algeria,2022-10-21,Gold,blocked,False,15338.58,16.01,168,2025-12-12,web,2020-12-03 05:45:47,2025-11-10 04:47:12
2,John,Gibson,,1988-11-22,mlane@martin.com,227.122.3209x655,Parkershire,Hungary,2021-05-22,Platinum,inactive,True,,310.45,240,2025-01-25,web,2022-07-05 10:50:59,2026-01-14 11:12:49
3,Harold,Grimes,,1950-11-29,jonesfrederick@gmail.com,448.196.2164x358,Lake Jackview,Germany,2020-12-26,Silver,inactive,True,10879.98,476.39,140,2025-06-09,,2022-08-04 17:08:34,2025-05-09 07:23:08
2,Aaron,Martin,F,2000-05-13,fpark@yahoo.com,,Marthaborough,British Indian Ocean Territory (Chagos Archipelago),2021-05-02,Gold,inactive,False,10059.99,58.52,205,2025-08-01,web,2020-08-02 14:01:08,2025-10-28 20:19:45
5,Michael,Hanson,,1988-08-05,,(708)643-4645,Christophertown,Tokelau,2025-09-19,Bronze,blocked,False,181.37,431.26,18,2025-02-04,mobile,2020-03-29 11:31:35,2025-05-26 12:01:25
6,Sharon,Perez,,1976-06-27,lewistammy@young-mitchell.info,866.948.4432x3548,North Anthony,Panama,2022-02-05,Gold,blocked,False,20780.72,224.46,213,2025-12-24,store,2021-02-09 15:37:25,2025-06-27 01:54:35
7,Jared,Nichols,M,1994-03-16,joshuajohnson@yahoo.com,508.786.3076x912,Nelsonmouth,Belize,2025-01-25,Platinum,inactive,,23275.15,302.55,59,,web,2022-07-06 11:12:17,2025-12-21 00:47:08
8,Howard,Marshall,M,1965-01-08,smithmegan@hotmail.com,852-503-1414,Lake Brittany,Slovenia,2020-07-20,Gold,blocked,,5222.54,307.11,1,,mobile,2022-04-25 23:07:41,2025-12-27 03:43:29
9,Kelly,Graves,,1992-07-29,corey28@salas.com,+1-010-221-0741,South Marisa,French Guiana,2021-06-21,Gold,blocked,,12240.27,421.55,9,2025-12-04,store,2021-09-12 17:24:07,2025-10-11 04:03:40
10,Ian,Willis,F,2001-03-14,lphillips@gmail.com,1718822167,Francisville,Namibia,2024-02-24,Platinum,inactive,,,362.2,92,,mobile,2020-04-07 22:06:36,2026-01-15 21:24:09
11,Richard,Green,F,1997-04-10,michaelmiller@hotmail.com,+1-776-128-3599,Wrightview,Rwanda,2023-04-04,Platinum,active,False,15388.73,142.35,110,2025-08-20,store,2021-11-12 15:43:45,2025-08-31 15:08:16
10,Joseph,Beck,,1957-02-02,whitakerleonard@elliott-morris.com,995.837.6846x342,Williamchester,Saint Vincent and the Grenadines,2022-02-17,Silver,blocked,False,4233.56,119.91,38,2024-02-24,,2020-02-22 05:08:27,2025-05-07 15:51:21
13,Jacqueline,Taylor,F,1969-01-09,lancejackson@hotmail.com,157-766-0361x1003,New Kenneth,Sweden,2023-01-23,Bronze,active,,,56.24,250,,,2022-12-22 03:35:21,2025-05-09 08:14:05
