customer_id,first_name,last_name,gender,birth_date,email,city,country,registration_date,loyalty_tier
1,James,Molina,M,1999-08-13,cainjacqueline@hotmail.com,Bernardhaven,Jersey,2025-01-04,Bronze
2,Megan,Banks,M,1991-10-15,fieldslindsay@yahoo.com,Georgetown,Western Sahara,2025-10-25,Silver
3,Rebecca,Henderson,M,1989-11-07,drew28@woods.com,East Johnville,Grenada,2021-07-29,Silver
4,Joseph,Ramirez,F,2000-03-20,julie05@adams.biz,Port Zachary,Uzbekistan,2021-01-24,Silver
5,Laura,Parker,M,1962-08-18,maxwellpatrick@conrad.com,West Lindaland,Faroe Islands,2023-08-15,Gold
6,Connie,Williams,M,1976-10-18,liumatthew@rodriguez.org,West Leonardmouth,Dominican Republic,2023-09-22,Gold
7,Zachary,Hodges,M,2005-07-28,ldavis@yahoo.com,Lake Darius,Macao,2023-05-17,Bronze
8,Jason,Padilla,M,1995-11-04,maurice72@gmail.com,New Bobbystad,United States of America,2024-11-28,Silver
9,Dana,Carter,F,2003-12-03,johnclayton@yahoo.com,North Jacqueline,Turkey,2022-02-23,Bronze
10,Daniel,Pitts,M,1970-07-19,robert03@yahoo.com,North Rogerstad,Falkland Islands (Malvinas),2022-08-17,Silver
11,Charles,Taylor,M,1955-09-15,ijones@gmail.com,South Kristenhaven,Uzbekistan,2022-03-13,Gold
12,Shelby,Shaffer,M,1988-09-29,ajohnson@yahoo.com,Rogertown,Morocco,2022-01-09,Gold
13,Anthony,Wilson,F,1998-12-04,moraleskevin@gmail.com,Shawnachester,Palestinian Territory,2022-05-10,Silver
14,Gabriel,Green,M,2006-03-24,armstrongjoseph@yahoo.com,Reedshire,Cape Verde,2023-12-28,Silver
15,Diane,Lucas,M,1988-04-29,zrodriguez@russell.com,East Emily,Wallis and Futuna,2023-09-04,Gold
16,Larry,Rodriguez,M,1993-06-27,millerleroy@clay-randall.com,North Devinburgh,Cayman Islands,2021-01-26,Gold
17,Michael,Smith,M,1994-02-23,anthonychristian@landry.com,Lake Gailview,Russian Federation,2023-04-11,Bronze
18,Shannon,White,F,2003-02-23,ryangonzalez@williams.info,Wagnerland,Northern Mariana Islands,2025-08-07,Gold
19,Amanda,Ferguson,M,1984-07-26,rhodesrichard@hotmail.com,Lake Jasonborough,Cambodia,2023-01-31,Silver
20,Matthew,Evans,M,1981-01-04,dennisjackson@morgan.com,Port Raymond,Cambodia,2023-09-30,Bronze
21,Sarah,Jenkins,F,1971-11-01,awilliams@hickman.com,North Robinstad,Marshall Islands,2021-11-07,Silver
22,Amy,Perez,F,1959-03-03,carolyn94@yu-carr.org,Justinfurt,Malaysia,2024-10-10,Bronze
23,Jessica,White,F,1987-03-02,patricia65@yahoo.com,Howellchester,Venezuela,2025-12-03,Silver
24,Jacqueline,Kelly,M,1994-06-24,adrianstanley@gmail.com,Lake Brittany,Tuvalu,2021-06-09,Gold
25,Brett,Garcia,F,2003-07-01,theresa33@gmail.com,Moraleshaven,Syrian Arab Republic,2024-08-05,Silver
26,Monica,Miller,M,1960-02-20,trichardson@mcintyre.org,Davidport,Monaco,2023-04-20,Bronze
27,Cathy,Johnson,F,1978-12-13,caldwellsarah@warner.com,East Joshua,Brazil,2022-06-24,Silver
28,Michael,Contreras,M,1990-08-29,curtis37@dudley-rodriguez.info,Perkinshaven,Belize,2024-02-04,Bronze
29,Steven,Hall,F,1997-05-26,melissawood@gmail.com,Port Susanstad,South Africa,2023-10-30,Silver
30,Bryan,Ortiz,M,1959-02-23,jerrybrady@yahoo.com,Port Christopher,Botswana,2023-04-27,Gold
31,Mark,Meadows,F,2006-08-07,johnmckinney@yahoo.com,North Sandrastad,Latvia,2024-12-23,Gold
32,William,Green,M,1958-01-01,yescobar@yahoo.com,Millermouth,Peru,2023-10-01,Silver
33,Patrick,Walters,M,1955-06-08,alexandra54@guerra-robertson.com,New James,Cocos (Keeling) Islands,2021-02-25,Silver
34,Christopher,Watts,M,1982-01-04,jessica17@hotmail.com,Wilsonburgh,Turkey,2022-05-01,Silver
35,Tonya,Brown,M,1998-03-12,wesleyward@yahoo.com,Fischershire,Switzerland,2023-06-17,Bronze
36,James,Hester,M,1970-04-12,ehernandez@yahoo.com,Lake Janetport,Turkey,2021-10-11,Silver
37,Willie,Miller,M,1973-07-26,sbell@knight.info,East Conniefort,Cyprus,2021-09-13,Silver
38,Cassandra,Campos,M,1961-03-30,wendyhaney@mclean.org,New Audrey,Saint Vincent and the Grenadines,2024-06-16,Bronze
39,Mark,Rodriguez,M,1963-04-09,michelle95@newman.info,Jessicafort,Macao,2024-04-06,Gold
40,John,Reed,F,2005-07-26,uchapman@russell-randall.net,West Bobbytown,Mali,2025-09-27,Silver
41,Dawn,Barnes,M,1987-05-28,josephcruz@rush.com,Sherryburgh,Lebanon,2022-10-06,Silver
42,Leah,Warren,M,1971-04-29,patriciashea@carr.org,New Patrick,Greece,2022-12-22,Gold
43,Jodi,Wells,F,1995-07-16,lauren48@hotmail.com,Bryanfurt,Saint Pierre and Miquelon,2025-02-15,Gold
44,Samantha,Marshall,M,1994-11-26,esparzarobert@yahoo.com,North Tammy,Jersey,2023-11-24,Bronze
